1;379;656
2;672;1060
3;1085;1482
4;1493;1871
5;1890;1934
5;1965;2000
5;2029;2066
5;2088;2131
5;2167;2208
6;2283;2319
6;2350;2385
6;2418;2457
6;2482;2520
6;2549;2594
6;2620;2655
7;2763;3050
8;3102;3147
8;3252;3293
8;3417;3479
9;3703;3744
9;3900;3950
9;4099;4152
10;4313;4353
10;4507;4560
10;4692;4741
11;4888;4944
11;5070;5123
11;5279;5330
12;5542;5679
13;5876;5944
13;5998;6067
14;6111;6476
15;6525;6602
15;6750;6849
16;6969;7057
16;7216;7298
17;8142;8219
17;8277;8379
17;8425;8497
18;8543;8654
18;8745;8852
19;8959;9086
19;9212;9336
20;9553;9713
20;9837;9963
