1;389;696
2;709;1070
3;1110;1489
4;1537;1879
5;1925;1964
5;1995;2057
5;2102;2170
5;2199;2271
6;2293;2368
6;2433;2485
6;2531;2586
6;2637;2678
7;2725;3089
8;3147;3193
8;3278;3317
8;3406;3456
8;3627;3678
9;3776;3820
9;3957;3997
9;4161;4213
10;4316;4356
10;4519;4560
11;4919;4965
11;5104;5161
12;5555;5683
13;5896;5977
13;5983;6084
14;6158;6511
15;6576;6664
15;6781;6877
16;6946;7044
16;7112;7213
17;8292;9415
17;8472;8575
18;8641;8777
18;8797;8921
19;9037;9175
19;9333;9436
20;9645;9798
